	name	count
24570	DO NOT BUY THIS	48
22967	GET IT TO WORK	37
4051	NOT WORTH THE MONEY	33
21788	DON'T WASTE YOUR MONEY	30
3866	OUT OF THE BOX	30
9931	DON'T WASTE YOUR TIME	25
3663	DOES NOT WORK WITH	24
8783	EASY TO SET UP	23
24980	A WASTE OF MONEY	19
1739	NOT BUY THIS PRODUCT	17
3861	NOT WORK FOR ME	17
12772	DID NOT WORK FOR	16
13463	NOT AS GOOD AS	16
15446	GET WHAT YOU PAY	16
18233	WHAT YOU PAY FOR	15
5876	HAD TO RETURN IT	15
2013	I WOULD NOT RECOMMEND	14
23920	NOT WORK WITH MY	14
1282	DID NOT WORK WITH	14
13734	GREAT WHEN IT WORKS	14
7769	WOULD NOT RECOMMEND THIS	13
353	WORKED FOR ABOUT A	13
8971	DO NOT WASTE YOUR	12
19765	DON'T BUY THIS ROUTER	11
7091	WORST CUSTOMER SERVICE EVER	11
2204	NOT BUY THIS ROUTER	11
23441	GOOD BUT NOT GREAT	11
24295	I WOULD NOT BUY	11
23166	IS A WASTE OF	11
22013	NOT WHAT I EXPECTED	11
17417	COULDN'T GET IT TO	11
18496	DOES NOT WORK AS	10
24099	TO GET IT TO	10
16452	NOT WORK AS ADVERTISED	10
3017	NOT GET IT TO	10
3571	COULD NOT GET IT	10
24441	MOST OF THE TIME	10
14451	WASTE OF TIME AND	9
8137	DIDN'T WORK FOR ME	9
2	IF YOU WANT TO	9
10068	YOU GET WHAT YOU	9
1748	WORKED FINE FOR A	9
4683	YOUR MONEY ON THIS	9
6453	STOPPED WORKING AFTER MONTHS	8
8850	FOR A FEW MONTHS	8
17077	FOR ABOUT A WEEK	8
4294	NOT WASTE YOUR MONEY	8
11405	WANTED TO LIKE IT	8
18785	LIVE UP TO THE	8
11164	WOULD NOT WORK WITH	8
11954	TO OBTAIN IP ADDRESS	8
6068	WOULD NOT BUY AGAIN	8
16048	UNABLE TO OBTAIN IP	8
8995	RIGHT OUT OF THE	8
22252	GOOD WHEN IT WORKS	8
9229	DIDN'T WORK FOR US	8
21356	NEARLY AS GOOD AS	7
19035	TO SET UP AND	7
770	NOT NEARLY AS GOOD	7
15983	YOUR TIME AND MONEY	7
16502	DOES NOT WORK WELL	7
