	name	count
4081	DO NOT BUY THIS PRODUCT	17
1366	DID NOT WORK FOR ME	15
762	GET WHAT YOU PAY FOR	15
6906	I WOULD NOT RECOMMEND THIS	12
10816	COULDN'T GET IT TO WORK	11
801	DO NOT BUY THIS ROUTER	11
17289	COULD NOT GET IT TO	10
3533	YOU GET WHAT YOU PAY	9
10504	TO GET IT TO WORK	9
16192	NOT GET IT TO WORK	9
9061	IS A WASTE OF MONEY	9
18291	DO NOT WASTE YOUR MONEY	8
7513	UNABLE TO OBTAIN IP ADDRESS	8
1952	WORKED FOR ABOUT A WEEK	8
8322	RIGHT OUT OF THE BOX	8
17805	NOT NEARLY AS GOOD AS	7
15730	WASTE OF TIME AND MONEY	7
12253	DOES NOT WORK AS ADVERTISED	7
4057	DID NOT WORK WITH MY	7
8747	I WOULD NOT BUY AGAIN	7
5771	DOES NOT LIVE UP TO	7
7772	TO OBTAIN IP ADDRESS UNABLE	6
8067	DO NOT BUY IF YOU	6
15302	RANGE EXTENDER NOT SO MUCH	6
11081	ADDRESS UNABLE TO OBTAIN IP	6
20739	WOULD NOT WORK WITH MY	6
6026	OBTAIN IP ADDRESS UNABLE TO	6
8014	WASTE YOUR TIME OR MONEY	6
13233	DON'T WASTE YOUR TIME OR	6
3596	IP ADDRESS UNABLE TO OBTAIN	6
6296	WASTE YOUR TIME AND MONEY	6
19798	DO NOT BUY UNLESS YOU	5
19442	HAVE NOT BEEN ABLE TO	5
19006	I WILL NEVER BUY ANOTHER	5
6607	I HAVE NOT BEEN ABLE	5
15697	EASY TO SET UP BUT	5
19817	IT WAS A WASTE OF	5
12565	FOR ABOUT A WEEK AND	5
753	VERY EASY TO SET UP	5
10637	NOT WHAT I WAS EXPECTING	5
5094	PRODUCT IS A WASTE OF	5
1185	EASY TO SET UP AND	5
5352	I AM STILL TRYING TO	5
3132	WASTE YOUR MONEY ON THIS	5
5314	WAS NEVER ABLE TO GET	5
5312	DUAL BAND WI-FI GIGABIT ROUTER	5
1207	IF YOU WANT TO USE	4
19632	FOR A FEW MONTHS THEN	4
5978	GREAT FOR A FEW DAYS	4
10567	AC1200 DESKTOP WIFI RANGE EXTENDER	4
5028	GOOD WHEN IT WORKS BUT	4
18891	AND IT WORKS MUCH BETTER	4
9800	I REALLY WANTED TO LIKE	4
11105	I WANT MY MONEY BACK	4
