	name	count
11147	US	10334
3184	TEAM	9778
2025	PLEASE	7760
5852	EMAIL	7297
9191	HELP	6017
8029	GET	5650
10646	SUPPORT	5245
104	REVIEW	4915
1468	LIKE	4410
6900	LINK	4105
1977	NETGEARTEAM@NETGEAR.COM	4011
6301	CONTACT	4007
9899	WANT	3934
7139	NUMBER	3345
12384	FIRMWARE	3332
7858	SERIAL	3165
8967	INCLUDE	3094
12646	SORRY	3086
11852	HI	3026
10040	HELLO	2809
10432	WORKING	2807
5155	CASE	2611
3804	NEED	2497
4574	APOLOGIZE	2419
1695	ROUTER	2383
7868	WOULD	2347
8694	TROUBLE	2214
6824	NETGEAR	2192
11027	RUNNING	2106
489	ALSO	2097
6383	HEY	1963
9362	KNOW	1856
185	LET	1773
12346	AMAZON@NETGEAR.COM	1703
8966	ISSUES	1534
11330	HAPPY	1521
13	NUMBERS	1503
8234	TIME	1436
4077	ALWAYS	1426
439	DETAILS	1422
6123	LOOK	1355
10696	ANYTHING	1306
7942	ISSUE	1259
5317	MAKE	1220
9438	INFORMATION	1200
9501	WARRANTY	1193
5918	FREE	1191
8057	SURE	1129
7959	ALONG	1114
1670	FEEL	1083
3298	THINGS	1071
7393	WHENEVER	1061
6734	DIRECTLY	1047
9147	ELSE	1029
7437	COPY	1024
11021	GETTING	1009
7879	PASTE	1006
9598	EMPTY	988
4673	WORK	983
7741	WE'D	962
908	PROBLEMS	957
11719	UNIT	932
10599	FORWARD	930
2653	ASSISTANCE	916
3140	HARDWARE	877
8543	R7000	862
4839	INVESTIGATE	858
11654	QUESTIONS	832
8286	NOTHING	827
5415	HOPE	800
2035	AWAY	797
3471	SUPPORT.NETGEAR.COM	780
4541	EXTENDER	775
175	PROBLEM	767
916	PERFORMANCE	730
6499	PRODUCT	729
2022	MAY	725
6646	SOON	708
2013	CURRENT	705
4297	REMEMBER	689
2056	WN3000RP	679
9943	CHANCE	674
8248	GAVE	672
11494	WNDR4300	666
4950	REPLACEMENT	655
12267	ISN'T	650
7102	BEST	648
12778	STILL	648
312	STANDING	644
3369	USE	634
3317	YOU.REGARDS,NETGEAR	613
460	CONNECTION	582
4490	ASK	575
10182	USING	567
12318	FORUMS	564
9356	APOLOGIES	550
4534	ABLE	542
7939	YOU'VE	535
12227	MOMENT	531
